Network,Density,Centrality,,,,,,
1,0.180773253,0.125955157,,,,,,
2,0.261731203,0.274352337,,,,,,
3,0.215861133,0.537070902,,,,,,
4,0.217882229,0.116401495,,,,,,
5,0.233052309,0.274352337,,,,,,
6,0.227937067,0.140709262,,,,,,
7,0.297987568,0.380367317,,,,,,
8,0.131763629,0.297078187,,,,,threshold,8
9,0.110944518,0.102054515,,,,,pass1link,5
10,0.109280133,0.078897606,,,,,pass2link,8
11,0.12489935,0.380367317,,,,,,
12,0.101105544,0.550883413,,,,,,
13,0.074408504,0.103313276,,,,,,
14,0.069634572,0.160281838,,,,,,
15,0.055018148,0.089906526,,,,,,
16,0.041944336,0.095427859,,,,,,
17,0.02634092,0.092274834,,,,,,
18,0,0.080759838,,,,,,
